Employee ID,Billable Rate (per hour),Project,Date,Start Time,End Time
1,300,Brainbox,2020-01-30,8:00,11:00
2,300,Chatterpoint,2020-01-29,8:00,11:00
3,300,Youspan,2020-05-16,8:00,11:00
4,300,Youspan,2020-02-17,8:00,11:00
5,300,Demimbu,2020-02-20,8:00,11:00
6,300,Eire,2020-05-09,8:00,11:00
7,300,Zoomdog,2020-07-06,8:00,11:00
8,300,Jabberstorm,2020-05-05,8:00,11:00
9,300,Mydo,2019-08-24,8:00,11:00
10,300,Photobug,2019-11-11,8:00,11:00
11,300,Eazzy,2020-05-13,8:00,11:00
12,300,Omba,2019-12-17,8:00,11:00
13,300,Mynte,2019-09-21,8:00,11:00
14,300,Podcat,2019-10-22,8:00,11:00
15,300,Centidel,2020-04-04,8:00,11:00
16,300,Browsedrive,2019-11-07,8:00,11:00
17,300,Skidoo,2020-06-27,8:00,11:00
18,300,Divavu,2020-05-26,8:00,11:00
19,300,Tagfeed,2020-01-25,8:00,11:00
20,300,Plambee,2020-06-10,8:00,11:00
21,300,Jatri,2020-02-08,8:00,11:00
22,300,Fivechat,2020-03-07,8:00,11:00
23,300,Bubblebox,2019-10-13,8:00,11:00
24,300,Eayo,2020-07-02,8:00,11:00
25,300,Abata,2020-01-29,8:00,11:00
26,300,Ainyx,2019-08-04,8:00,11:00
27,300,Rhynoodle,2019-11-25,8:00,11:00
28,300,Dynazzy,2019-09-08,8:00,11:00
29,300,Miboo,2020-01-01,8:00,11:00
30,300,Tagcat,2020-03-15,8:00,11:00
31,300,Skyndu,2020-02-22,8:00,11:00
32,300,Quimba,2019-12-18,8:00,11:00
33,300,Dynabox,2019-12-22,8:00,11:00
34,300,Youtags,2020-06-05,8:00,11:00
35,300,Yamia,2020-03-31,8:00,11:00
36,300,Buzzshare,2020-05-15,8:00,11:00
37,300,Geba,2020-03-27,8:00,11:00
38,300,Janyx,2019-10-30,8:00,11:00
39,300,Browsebug,2020-01-16,8:00,11:00
40,300,Eare,2019-08-24,8:00,11:00
41,300,Livetube,2019-10-25,8:00,11:00
42,300,Edgewire,2020-04-25,8:00,11:00
43,300,Devcast,2020-01-19,8:00,11:00
44,300,Realpoint,2020-03-07,8:00,11:00
45,300,Kwinu,2019-08-06,8:00,11:00
46,300,Mita,2020-02-01,8:00,11:00
47,300,Yakidoo,2019-10-08,8:00,11:00
48,300,Dablist,2019-10-29,8:00,11:00
49,300,Quinu,2020-03-05,8:00,11:00
50,300,Zoombox,2019-12-09,8:00,11:00
51,300,Quire,2019-12-11,8:00,11:00
52,300,Kwilith,2019-09-23,8:00,11:00
53,300,Trilia,2020-03-20,8:00,11:00
54,300,Janyx,2020-02-02,8:00,11:00
55,300,Kazio,2019-08-08,8:00,11:00
56,300,Fiveclub,2020-04-23,8:00,11:00
57,300,Youbridge,2019-09-30,8:00,11:00
58,300,Topiczoom,2020-07-22,8:00,11:00
59,300,Gabspot,2019-09-27,8:00,11:00
60,300,Izio,2020-03-06,8:00,11:00
61,300,Topicblab,2020-05-06,8:00,11:00
